City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Leh,IN,34.1667,77.5833,60.28,17,0,3.24,clear sky
80,Yatou,CN,37.15,122.3833,67.64,72,0,23.33,clear sky
81,Traverse City,US,44.7631,-85.6206,70.99,89,5,9.19,clear sky
82,Tutoia,BR,-2.7619,-42.2744,83.17,62,91,11.79,overcast clouds
83,Santa Maria,BR,-29.6842,-53.8069,67.3,45,0,9.22,clear sky
84,Bay Roberts,CA,47.5999,-53.2648,61.52,67,60,14.0,broken clouds
85,Wangaratta,AU,-36.3667,146.3333,50.47,91,93,10.4,overcast clouds
86,Lidkoping,SE,58.5052,13.1577,59.41,67,73,10.33,broken clouds
87,Vredendal,ZA,-31.6683,18.5012,62.67,42,96,14.32,overcast clouds
88,Panaba,MX,21.2833,-88.2667,78.33,88,27,5.23,scattered clouds
89,East London,ZA,-33.0153,27.9116,59.94,100,100,13.8,overcast clouds
90,Mao,ES,39.8885,4.2658,77.56,47,20,13.8,few clouds
91,Richards Bay,ZA,-28.783,32.0377,75.74,68,84,8.43,broken clouds
92,Trelew,AR,-43.249,-65.3051,46.85,55,100,18.95,overcast clouds
93,Saskylakh,RU,71.9167,114.0833,27.84,92,24,6.4,few clouds
94,Oranjestad,AW,12.524,-70.027,84.15,79,20,3.44,few clouds
95,Vila Franca Do Campo,PT,37.7167,-25.4333,79.21,79,89,3.83,overcast clouds
96,Yeppoon,AU,-23.1333,150.7333,65.98,93,0,3.76,clear sky
97,Kununurra,AU,-15.7667,128.7333,80.58,57,68,8.05,broken clouds
98,Touros,BR,-5.1989,-35.4608,83.21,65,58,14.99,broken clouds
99,Hobart,AU,-42.8794,147.3294,51.66,81,40,10.36,scattered clouds
100,Bengkulu,ID,-3.8004,102.2655,76.57,88,100,2.86,overcast clouds
101,Alice Springs,AU,-23.7,133.8833,65.75,27,80,12.66,broken clouds
102,Nantucket,US,41.2835,-70.0995,74.08,67,0,14.97,clear sky
103,Vicuna,CL,-30.0319,-70.7081,49.73,68,0,3.85,clear sky
104,Moanda,GA,-1.5575,13.2178,82.8,68,65,3.51,moderate rain
105,Ayan,RU,56.45,138.1667,48.58,98,100,8.32,moderate rain
106,Longyearbyen,SJ,78.2186,15.6401,30.04,80,75,8.05,broken clouds
107,Portland,US,45.5234,-122.6762,58.98,82,75,4.0,broken clouds
108,Hermanus,ZA,-34.4187,19.2345,60.8,70,83,16.87,light rain
109,Torbay,CA,47.6666,-52.7314,60.76,69,75,24.16,broken clouds
110,Kodiak,US,57.79,-152.4072,51.31,71,100,4.61,overcast clouds
111,Kinshasa,CD,-4.3246,15.3215,89.24,41,100,7.49,light rain
112,Bluff,NZ,-46.6,168.3333,46.8,86,100,7.31,overcast clouds
113,Gat,IL,31.61,34.7642,86.4,1,3,13.96,clear sky
114,Magole,TZ,-6.3667,37.3667,88.39,29,89,7.99,overcast clouds
115,Yellowknife,CA,62.456,-114.3525,43.32,100,75,8.05,broken clouds
116,Vao,NC,-22.6667,167.4833,72.77,82,1,16.13,clear sky
117,Hithadhoo,MV,-0.6,73.0833,82.72,71,95,7.52,overcast clouds
118,Milkovo,RU,54.7167,158.6167,35.44,78,19,2.04,few clouds
119,Luau,AO,-10.7073,22.2247,88.34,29,100,1.43,overcast clouds
120,Beloha,MG,-25.1667,45.05,89.31,24,3,8.01,clear sky
121,Talnakh,RU,69.4865,88.3972,36.36,100,100,6.08,light rain
122,Chifeng,CN,42.2683,118.9636,56.34,31,6,6.13,clear sky
123,Norman Wells,CA,65.282,-126.8329,39.24,100,75,3.44,broken clouds
124,Gombong,ID,-7.6072,109.5142,77.7,81,73,4.76,broken clouds
125,Nikolskoye,RU,59.7035,30.7861,58.91,72,100,4.99,overcast clouds
126,Evanston,US,42.0411,-87.6901,72.05,78,75,4.61,broken clouds
127,Kavieng,PG,-2.5744,150.7967,81.97,74,98,8.23,overcast clouds
128,Patrocinio,BR,-18.9439,-46.9925,72.75,54,0,10.42,clear sky
129,Alta Floresta,BR,-9.8756,-56.0861,82.22,78,47,2.3,smoke
130,Coihaique,CL,-45.5752,-72.0662,39.15,56,75,3.44,broken clouds
131,Anadyr,RU,64.75,177.4833,39.7,86,40,6.71,scattered clouds
132,Fernley,US,39.608,-119.2518,59.58,35,100,5.14,overcast clouds
133,Sterling,US,39.0062,-77.4286,69.58,86,0,5.99,clear sky
134,Lumby,CA,50.2498,-118.969,42.89,91,100,8.05,overcast clouds
135,Qostanay,KZ,53.1667,63.5833,75.49,17,0,8.95,clear sky
136,Lebu,CL,-37.6167,-73.65,45.48,62,7,3.06,clear sky
137,Kapaa,US,22.0752,-159.319,77.32,83,20,8.05,few clouds
138,Qesarya,IL,32.5189,34.9046,84.96,62,0,12.55,clear sky
