City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Luderitz,NA,2022-09-10 22:31:55,-26.6481,15.1594,59.41,69,27,14.7
68,Ostrovnoy,RU,2022-09-10 22:31:56,68.0531,39.5131,47.5,85,97,11.86
69,Otane,NZ,2022-09-10 22:31:56,-39.8833,176.6333,57.0,82,96,5.08
70,Coihaique,CL,2022-09-10 22:27:59,-45.5752,-72.0662,51.75,58,40,5.75
71,Chokurdakh,RU,2022-09-10 22:31:57,70.6333,147.9167,41.05,88,100,4.54
72,Saint George,US,2022-09-10 22:31:57,37.1041,-113.5841,75.79,57,0,9.22
73,Kirkwall,GB,2022-09-10 22:31:58,58.9848,-2.9587,51.96,93,75,3.44
74,East London,ZA,2022-09-10 22:30:12,-33.0153,27.9116,67.77,72,98,4.07
75,Fort Nelson,CA,2022-09-10 22:31:58,58.8053,-122.7002,69.39,24,40,10.36
76,Mahebourg,MU,2022-09-10 22:31:59,-20.4081,57.7,70.09,73,75,6.91
77,Nizhniy Tsasuchey,RU,2022-09-10 22:31:59,50.5167,115.1333,51.55,85,98,12.75
78,Ancud,CL,2022-09-10 22:32:00,-41.8697,-73.8203,50.23,88,72,4.61
79,Leon,MX,2022-09-10 22:31:33,21.1167,-101.6667,82.15,48,98,1.32
80,Lebu,CL,2022-09-10 22:32:00,-37.6167,-73.65,49.19,87,0,14.38
81,Caravelas,BR,2022-09-10 22:32:01,-17.7125,-39.2481,71.42,73,5,9.73
82,Alice Springs,AU,2022-09-10 22:32:01,-23.7,133.8833,57.22,26,100,5.75
83,Torbay,CA,2022-09-10 22:32:02,47.6666,-52.7314,57.58,92,100,32.01
84,Arraial Do Cabo,BR,2022-09-10 22:32:02,-22.9661,-42.0278,73.36,78,75,17.27
85,Kaeo,NZ,2022-09-10 22:32:03,-35.1,173.7833,63.32,80,94,9.62
86,Hue,VN,2022-09-10 22:32:03,16.4667,107.6,77.11,94,40,2.3
87,Souillac,MU,2022-09-10 22:32:04,-20.5167,57.5167,70.18,73,75,6.91
88,Saskylakh,RU,2022-09-10 22:32:04,71.9167,114.0833,33.69,97,100,13.24
89,Antofagasta,CL,2022-09-10 22:27:37,-23.65,-70.4,58.28,79,64,8.21
90,College,US,2022-09-10 22:32:04,64.8569,-147.8028,52.12,79,75,13.8
91,Borogontsy,RU,2022-09-10 22:32:05,62.6683,131.1683,39.15,82,58,7.99
92,Avarua,CK,2022-09-10 22:32:05,-21.2078,-159.775,78.85,78,20,18.41
93,Codrington,AU,2022-09-10 22:32:06,-38.2667,141.9667,50.59,85,100,12.86
94,Broken Hill,AU,2022-09-10 22:32:19,-31.95,141.4333,52.48,62,89,5.95
95,Raglan,NZ,2022-09-10 22:33:07,-37.8,174.8833,62.44,67,76,5.41
96,Vondrozo,MG,2022-09-10 22:33:07,-22.8167,47.2833,58.03,98,43,0.47
97,Cherskiy,RU,2022-09-10 22:33:08,68.75,161.3,52.0,68,97,1.95
98,Nouadhibou,MR,2022-09-10 22:33:08,20.931,-17.0347,72.81,86,6,26.57
99,Esperance,AU,2022-09-10 22:33:09,-33.8667,121.9,51.75,88,95,7.83
100,Dingle,PH,2022-09-10 22:33:09,10.9995,122.6711,77.47,85,84,3.29
101,Katsuura,JP,2022-09-10 22:33:10,35.1333,140.3,74.5,85,100,20.8
102,Toguchin,RU,2022-09-10 22:33:10,55.2353,84.3858,44.24,53,80,3.78
103,Parabel,RU,2022-09-10 22:33:11,58.6978,81.4825,43.99,96,100,3.8
104,Bethel,US,2022-09-10 22:33:12,41.3712,-73.414,81.45,50,30,3.0
105,Vila Velha,BR,2022-09-10 22:33:12,-20.3297,-40.2925,76.95,67,0,20.71
106,Kidal,ML,2022-09-10 22:33:13,18.4411,1.4078,93.31,22,85,2.33
107,Ponta Do Sol,PT,2022-09-10 22:33:13,32.6667,-17.1,78.01,84,97,5.14
108,Leh,IN,2022-09-10 22:33:14,34.1667,77.5833,57.47,59,53,4.18
109,Mapiri,BO,2022-09-10 22:33:14,-15.25,-68.1667,73.4,66,55,1.32
110,Jamestown,US,2022-09-10 22:33:15,42.097,-79.2353,76.01,51,0,9.22
111,Puerto Escondido,MX,2022-09-10 22:30:18,15.85,-97.0667,86.83,58,75,10.36
112,Tevaitoa,PF,2022-09-10 22:33:15,-16.7833,-151.5,78.57,73,4,19.64
113,Luanda,AO,2022-09-10 22:33:16,-8.8368,13.2343,69.78,92,6,7.83
114,Ahipara,NZ,2022-09-10 22:33:16,-35.1667,173.1667,60.93,65,79,12.44
115,Vaini,TO,2022-09-10 22:33:16,-21.2,-175.2,80.76,78,75,6.91
116,Provideniya,RU,2022-09-10 22:33:17,64.3833,-173.3,46.74,69,19,6.06
117,Carlyle,US,2022-09-10 22:33:17,38.6103,-89.3726,87.01,68,74,3.0
118,Krasnoselkup,RU,2022-09-10 22:33:17,65.7,82.4667,38.95,56,100,6.44
119,Sinnamary,GF,2022-09-10 22:33:18,5.3833,-52.95,79.25,82,100,8.41
120,Port Alfred,ZA,2022-09-10 22:33:18,-33.5906,26.891,61.18,94,99,4.0
121,Yatou,CN,2022-09-10 22:33:19,37.15,122.3833,68.0,87,6,0.94
122,Zyryanka,RU,2022-09-10 22:33:19,65.75,150.85,45.81,79,100,3.36
